LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2016-2018,343,15.1,430,18.9,773,34,DISTRICT TOTAL,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2016-2018,219,16.7,234,17.8,453,34.5,ELEMENTARY,COUNTY,,,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2016-2018,124,14.2,161,18.4,285,32.6,MIDDLE/HIGH,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2010-2012,327,17,343,17.8,670,34.8,DISTRICT TOTAL,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2010-2012,211,18.4,188,16.4,399,34.8,ELEMENTARY,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2010-2012,125,16,165,21.1,290,37.1,MIDDLE/HIGH,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,417,18.2,437,19.1,854,37.3,DISTRICT TOTAL,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,272,19.6,239,17.2,511,36.8,ELEMENTARY,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,137,16,198,23.1,335,39.1,MIDDLE/HIGH,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2014-2016,380,17.8,441,20.7,821,38.5,DISTRICT TOTAL,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2014-2016,218,17.5,238,19.2,456,36.8,ELEMENTARY,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2014-2016,155,17.8,203,23.3,358,41.1,MIDDLE/HIGH,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2016-2018,361,17.4,417,20,778,37.4,DISTRICT TOTAL,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2016-2018,212,16.9,231,18.4,443,35.4,ELEMENTARY,COUNTY,,,,,,,
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2016-2018,142,17.8,181,22.7,323,40.5,MIDDLE/HIGH,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2010-2012,279,19.7,315,22.2,594,41.9,DISTRICT TOTAL,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2010-2012,180,17.9,207,20.6,387,38.5,ELEMENTARY,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2010-2012,136,18.6,184,25.2,320,43.8,MIDDLE/HIGH,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,329,18.4,344,19.3,673,37.7,DISTRICT TOTAL,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,206,18.2,202,17.9,408,36.1,ELEMENTARY,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2012-2014,124,19.3,131,20.3,255,39.6,MIDDLE/HIGH,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2014-2016,317,16.7,328,17.3,645,34.1,DISTRICT TOTAL,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2014-2016,195,16.7,192,16.5,387,33.3,ELEMENTARY,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2014-2016,90,14,129,20.1,219,34.2,MIDDLE/HIGH,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,288,14.8,389,20,677,34.8,DISTRICT TOTAL,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,156,13.5,192,16.6,348,30.1,ELEMENTARY,COUNTY,,,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2016-2018,94,14.6,151,23.5,245,38.2,MIDDLE/HIGH,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,1721,16.6,1888,18.2,3609,34.8,DISTRICT TOTAL,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,909,16.2,961,17.1,1870,33.3,ELEMENTARY,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2010-2012,872,18.2,924,19.3,1796,37.4,MIDDLE/HIGH,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,2091,16.4,2302,18,4393,34.4,DISTRICT TOTAL,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,1156,15.7,1266,17.2,2422,32.9,ELEMENTARY,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2012-2014,933,17.3,1034,19.2,1967,36.5,MIDDLE/HIGH,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,1902,16.4,2006,17.3,3908,33.8,DISTRICT TOTAL,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,1036,16.1,1019,15.9,2055,32.1,ELEMENTARY,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2014-2016,862,16.9,968,19,1830,35.9,MIDDLE/HIGH,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,1774,15.9,1965,17.6,3739,33.5,DISTRICT TOTAL,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,979,15.5,997,15.8,1976,31.4,ELEMENTARY,COUNTY,,,,,,,
13,DUTCHESS,DUTCHESS,HUDSON VALLEY,2016-2018,785,16.4,965,20.2,1750,36.7,MIDDLE/HIGH,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2010-2012,4648,15.3,4983,16.4,9631,31.7,DISTRICT TOTAL,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2010-2012,2653,14.5,2913,15.9,5566,30.4,ELEMENTARY,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2010-2012,2032,16.7,2155,17.7,4187,34.5,MIDDLE/HIGH,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2012-2014,5623,16.5,5250,15.4,10873,31.9,DISTRICT TOTAL,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2012-2014,3086,15.5,2730,13.7,5816,29.3,ELEMENTARY,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2012-2014,2537,18,2495,17.7,5032,35.6,MIDDLE/HIGH,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2014-2016,5956,16.9,5635,16,11591,33,DISTRICT TOTAL,COUNTY,,,,,,,
14,ERIE,ERIE,WESTERN NEW YORK,2014-2016,3225,16.3,2743,13.8,5968,30.1,ELEMENTARY,COUNTY,,,,,,,
